;;;;;;;;;;;;x,,,,,,,
good_farmland;优质耕地;;;;;;;;;;x
floodplain_farmland;河漫滩耕地;;;;;;;;;;x
marginal_farmland;贫瘠耕地;;;;;;;;;;x
hilly_farmland;丘陵耕地;;;;;;;;;;x
mountain_farmland;高山耕地;;;;;;;;;;x
forested_farmland;森林耕地;;;;;;;;;;x
jungle_farmland;丛林耕地;;;;;;;;;;x
temperate_grassland;温带草地;;;;;;;;;;x
dry_grassland;干燥草地;;;;;;;;;;x
hilly_grassland;丘陵草地;;;;;;;;;;x
mountain_grassland;高山草地;;;;;;;;;;x
semi_desert;半荒漠;;;;;;;;;;x
semi_desert_hills;半荒漠丘陵;;;;;;;;;;x
semi_desert_mountains;半荒漠高山;;;;;;;;;;x
desert_hills;荒漠丘陵;;;;;;;;;;x
desert_mountains;荒漠高山;;;;;;;;;;x
dry_forest;干燥森林;;;;;;;;;;x
dry_forest_hills;干燥森林丘陵;;;;;;;;;;x
dry_forest_mountains;干燥森林高山;;;;;;;;;;x
deciduous_forest;温带森林;;;;;;;;;;x
deciduous_forest_hills;温带森林丘陵;;;;;;;;;;x
deciduous_forest_mountains;温带森林高山;;;;;;;;;;x
conifer_forest;亚寒带森林;;;;;;;;;;x
conifer_forest_hills;亚寒带森林丘陵;;;;;;;;;;x
conifer_forest_mountains;亚寒带森林高山;;;;;;;;;;x
boreal_forest;寒带森林;;;;;;;;;;x
boreal_forest_hills;寒带森林丘陵;;;;;;;;;;x
boreal_forest_mountains;寒带森林高山;;;;;;;;;;x
jungle_hills;丛林丘陵;;;;;;;;;;x
jungle_mountains;丛林高山;;;;;;;;;;x
seasonal_jungle;季雨林;;;;;;;;;;x
seasonal_jungle_hills;季雨林丘陵;;;;;;;;;;x
seasonal_jungle_mountains;季雨林高山;;;;;;;;;;x
cold_desert;高寒荒漠;;;;;;;;;;x
cold_desert_hills;寒漠丘陵;;;;;;;;;;x
cold_desert_mountains;寒漠山地;;;;;;;;;x
tundra;苔原;;;;;;;;;;x
tundra_hills;苔原丘陵;;;;;;;;;;x
tundra_mountains;苔原高山;;;;;;;;;;x
boreal_marsh;寒带湿地;;;;;;;;;;x
swamp_jungle;湿地丛林;;;;;;;;;;x
